CHROMATOGRAM
(+)APCI_methanol_MOP_channel_4_diffdelaytime_test1.raw
Data points: 771
Time	Intensity
0.000198	0
0.009447	0
0.018717	0
0.028000	0
0.037338	16
0.046617	0
0.055890	11
0.065170	0
0.074433	12
0.083685	11
0.092947	11
0.102252	20
0.111543	7
0.120882	54413
0.130232	79810
0.139608	17884
0.148988	76620
0.158353	8564
0.167678	281
0.176955	84192
0.186270	3225
0.195622	73
0.204882	50228
0.214205	24862
0.223460	820
0.232750	57
0.241997	24
0.251265	124625
0.260562	3897
0.269885	112
0.279220	32
0.288557	0
0.297792	109380
0.307120	15987
0.316373	478
0.325682	34
0.334957	9
0.344195	9
0.353548	74131
0.362867	34471
0.372212	1006
0.381510	27
0.390833	0
0.400155	0
0.409477	0
0.418763	6
0.428188	107895
0.437585	48273
0.446955	46139
0.456277	24072
0.465628	769
0.474937	74760
0.484233	7501
0.493567	278
0.502870	6730
0.512290	56745
0.521607	1759
0.530897	48
0.540210	22
0.549530	80423
0.558852	9740
0.568137	183
0.577380	37
0.586843	31
0.596163	69346
0.605478	32111
0.614813	926
0.624127	52
0.633410	44
0.642627	6
0.651923	0
0.661233	73973
0.670672	2690
0.679952	64
0.689203	31
0.698532	15
0.707762	27
0.717032	6
0.726280	73302
0.735702	80254
0.745077	5956
0.754410	83458
0.763725	2783
0.773063	61936
0.782332	34319
0.791592	867
0.800878	67
0.810312	55207
0.819730	6558
0.829035	196
0.838365	15
0.847677	68216
0.857038	32281
0.866383	863
0.875717	56
0.885142	27
0.894455	25
0.903785	95894
0.913118	3764
0.922423	151
0.931693	25
0.941012	4
0.950290	2
0.959727	71982
0.969170	7010
0.978542	190
0.987800	27
0.997160	24
1.006510	9
1.015817	7
1.025118	55173
1.034413	91176
1.043800	17082
1.053100	73837
1.062403	7611
1.071775	238
1.081068	82840
1.090425	2574
1.099733	97
1.109075	44378
1.118477	21808
1.127768	443
1.137122	0
1.146495	12
1.155835	93316
1.165150	2578
1.174450	78
1.183738	23
1.193070	44
1.202467	85832
1.211783	9850
1.221118	290
1.230430	16
1.239735	11
1.249088	7
1.258415	49032
1.267767	24390
1.277148	611
1.286505	45
1.295845	0
1.305177	19
1.314525	0
1.323838	9
1.333193	109183
1.342505	49849
1.351955	37303
1.361432	22467
1.370780	556
1.380085	54884
1.389473	7709
1.398725	251
1.408085	29822
1.417407	49684
1.426808	1594
1.436247	59
1.445627	20
1.454960	55962
1.464370	7047
1.473695	135
1.483052	36
1.492385	0
1.501670	44055
1.511182	22109
1.520597	511
1.529970	10
1.539272	10
1.548592	20
1.557968	21053
1.567322	46831
1.576687	1591
1.586125	19
1.595465	0
1.604735	57
1.614073	0
1.623353	29
1.632688	70732
1.642015	81249
1.651482	4874
1.660890	68916
1.670312	1920
1.679625	47712
1.689013	28353
1.698265	618
1.707643	38
1.716992	74825
1.726460	4085
1.735863	141
1.745370	0
1.754658	48483
1.764027	23818
1.773407	609
1.782757	7
1.792107	21
1.801475	0
1.810830	69053
1.820303	2264
1.829630	71
1.838960	11
1.848320	0
1.857730	10
1.867050	81920
1.876453	4527
1.885843	180
1.895240	16
1.904692	12
1.914062	7
1.923367	11
1.932747	35954
1.942185	100180
1.951742	11978
1.961200	62047
1.970748	5010
1.980127	8293
1.989445	49828
1.998873	1433
2.008313	100
2.017622	86720
2.027055	11629
2.036438	330
2.045807	10
2.055162	9344
2.064585	48999
2.074018	1696
2.083397	41
2.092768	10
2.102060	15
2.111393	75895
2.120832	5651
2.130148	108
2.139702	34
2.149087	13
2.158493	0
2.167773	100474
2.177092	10276
2.186513	253
2.196053	17
2.205415	10
2.214868	12
2.224237	7
2.233665	40769
2.243103	116159
2.252490	14098
2.261860	61431
2.271317	5627
2.280640	2635
2.289952	52712
2.299447	1618
2.308830	38
2.318165	88364
2.327610	17381
2.336655	317
2.346085	44
2.355392	46
2.364772	45104
2.374352	1645
2.383743	35
2.393118	6
2.402482	19
2.411935	65376
2.421453	4627
2.430852	60
2.440277	14
2.449667	7
2.459140	0
2.468572	80292
2.478012	11176
2.487352	281
2.496788	34
2.506133	12
2.515423	22
2.524785	15
2.534377	40521
2.543835	109565
2.553230	12200
2.562625	59924
2.572058	5425
2.581448	1336
2.590788	52738
2.600212	1584
2.609610	69
2.619072	99354
2.628465	11563
2.637868	324
2.647303	0
2.656715	14810
2.666070	44251
2.675528	1666
2.684843	48
2.694293	31
2.703605	13
2.713015	75410
2.722563	5064
2.731882	131
2.741183	19
2.750518	4
2.759917	0
2.769273	86738
2.778830	8879
2.788272	260
2.797658	27
2.807030	1
2.816368	6
2.825770	27
2.835205	39764
2.844573	109040
2.854133	13741
2.863302	51318
2.872767	4662
2.882177	2447
2.891537	50875
2.901002	1403
2.910435	42
2.919778	99896
2.929273	11656
2.938697	325
2.948048	18
2.957468	19896
2.966825	45206
2.976263	1509
2.985667	41
2.995062	8
3.004442	0
3.013912	93796
3.023348	3969
3.032742	68
3.042097	5
3.051492	0
3.060923	0
3.070263	81781
3.079727	9160
3.089055	238
3.098522	39
3.107940	47
3.117323	15
3.126678	7
3.136083	28061
3.145575	103306
3.155117	12522
3.164482	59677
3.173993	4550
3.183440	19263
3.192802	50789
3.202218	1290
3.211687	39
3.220993	84892
3.230403	11097
3.239843	209
3.249283	22
3.258653	48593
3.268070	37587
3.277582	904
3.287148	60
3.296693	9
3.306308	27
3.315733	101055
3.325182	3135
3.334593	22
3.343943	12
3.353318	11
3.362787	22
3.372163	55864
3.381700	6485
3.391047	176
3.400477	11
3.409817	14
3.419172	3
3.428605	0
3.438017	34983
3.447403	107575
3.456938	12919
3.466445	57234
3.475992	4398
3.485400	19660
3.494788	45454
3.504263	1756
3.513712	33
3.523248	81443
3.532647	9245
3.542113	287
3.551555	19
3.560983	71646
3.570362	37639
3.579808	1240
3.589133	35
3.598573	17
3.607928	28
3.617270	113757
3.626820	3621
3.636198	119
3.645587	10
3.654962	12
3.664383	20
3.673842	61008
3.683362	6874
3.692838	186
3.702297	5
3.711767	5
3.721288	26
3.730795	33
3.740190	57450
3.749653	96328
3.759112	10600
3.768558	87914
3.778215	4522
3.787567	61497
3.797067	36216
3.806493	968
3.815945	72
3.825352	67349
3.834803	7864
3.844228	84
3.853873	16
3.863222	62544
3.872597	32220
3.882035	969
3.891417	22
3.900825	6
3.910158	6
3.919665	92160
3.929060	2611
3.938520	121
3.947895	15
3.957400	23
3.966875	7
3.976197	48670
3.985743	5368
3.995220	136
4.004740	19
4.014160	7
4.023743	13
4.033142	6
4.042612	64764
4.052110	93395
4.061540	10416
4.071053	109176
4.080572	3751
4.090083	66763
4.099522	38470
4.108907	1166
4.118352	29
4.127792	58698
4.137262	8140
4.146682	175
4.156202	25
4.165613	60509
4.175093	31390
4.184500	748
4.193923	51
4.203387	28
4.212772	17
4.222280	61868
4.231902	1956
4.241355	55
4.250795	9
4.260147	0
4.269578	0
4.279108	88727
4.288568	4436
4.297962	166
4.307458	21
4.316855	16
4.326322	0
4.335725	8
4.345143	38910
4.354662	108127
4.364145	11559
4.373640	76266
4.383275	3849
4.392800	61700
4.402235	35421
4.411693	992
4.421155	24
4.430587	59019
4.440118	6896
4.449545	245
4.458980	22
4.468433	66007
4.477898	28602
4.487480	752
4.496952	28
4.506365	0
4.515773	25
4.525165	76080
4.534638	2816
4.543988	54
4.553337	28
4.562925	23
4.572380	18
4.581825	74761
4.591305	4417
4.600733	153
4.610153	49
4.619595	9
4.628988	11
4.638443	4
4.647930	45766
4.657388	105616
4.666823	11236
4.676257	71668
4.685835	4574
4.695248	37139
4.704793	37498
4.714298	1007
4.723835	33
4.733310	68992
4.742775	7036
4.752207	253
4.761598	0
4.770905	72873
4.780278	33807
4.789708	929
4.799142	4
4.808703	15
4.818212	0
4.827645	85390
4.837093	2867
4.846518	59
4.855953	10
4.865408	6
4.874898	30
4.884407	58547
4.893907	4020
4.903380	212
4.912805	27
4.922288	13
4.931708	7
4.941162	14
4.950685	51124
4.960122	104494
4.969673	10687
4.979040	89581
4.988518	4556
4.997917	43082
5.007353	42639
5.016783	966
5.026268	51
5.035730	66565
5.045318	7887
5.054742	256
5.064203	20
5.073698	66759
5.083122	31693
5.092590	722
5.102075	40
5.111432	13
5.120967	19
5.130407	83427
5.139885	2498
5.149293	58
5.158753	15
5.168157	8
5.177570	0
5.187008	62470
5.196593	4644
5.206087	124
5.215603	29
5.225038	16
5.234505	5
5.243960	0
5.253498	54641
5.262882	93265
5.272492	8781
5.281973	101371
5.291515	3593
5.300960	65848
5.310358	36320
5.319797	844
5.329295	25
5.338792	57930
5.348383	6164
5.357978	90
5.367545	30
5.376933	48787
5.386410	22571
5.395900	541
5.405395	22
5.414853	16
5.424297	0
5.433847	51933
5.443462	1968
5.452875	92
5.462303	14
5.471728	11
5.481238	11
5.490668	100861
5.500153	3299
5.509587	109
5.519105	12
5.528558	34
5.538018	9
5.547495	4
5.556977	67386
5.566605	84127
5.576083	50677
5.585683	36261
5.595255	1147
5.604755	80821
5.614243	10657
5.623653	289
5.633132	14
5.642582	61095
5.652123	1975
5.661492	77
5.670928	23
5.680333	69166
5.689783	9091
5.699232	220
5.708782	23
5.718243	8
5.727802	43021
5.737292	22609
5.746842	507
5.756388	2
5.765837	4
5.775283	15
5.784738	62519
5.794247	31824
5.803798	981
5.813287	45
5.822770	21
5.832130	18
5.841487	15
5.850922	13238
5.860422	103509
5.869935	34069
5.879353	72289
5.888815	13116
5.898318	344
5.907725	106133
5.917193	3749
5.926585	122
5.936147	50795
5.945517	26110
5.955037	632
5.964567	52
5.974012	18
5.983460	94392
5.992952	3030
6.002367	62
6.011892	51
6.021320	4
6.030790	68749
6.040270	7551
6.049775	297
6.059262	41
6.068648	38
6.078090	3
6.087548	58831
6.097112	13709
6.106565	349
6.115937	0
6.125362	8
6.134770	11
6.144325	10
6.153683	4170
6.163103	107444
6.172620	31157
6.182142	68210
6.191672	13798
6.201200	320
6.210708	106426
6.220298	3076
6.229713	46
6.239213	47682
6.248728	19470
6.258235	553
6.267662	63
6.277125	28
6.286572	81492
6.296117	2437
6.305565	20
6.315035	30
6.324477	20
6.334028	61127
6.343520	7637
6.352930	178
6.362402	8
6.371933	7
6.381440	4
6.390912	89772
6.400413	12191
6.409850	269
6.419313	8
6.428825	14
6.438258	1
6.447920	0
6.457427	73395
6.467040	78956
6.476593	8902
6.486053	96085
6.495588	2982
6.505107	68860
6.514590	31168
6.524043	860
6.533522	27
6.542995	41672
6.552655	5309
6.562093	221
6.571508	30
6.580963	44134
6.590630	23579
6.600055	761
6.609463	39
6.618903	0
6.628363	18
6.637803	56613
6.647323	1925
6.656938	4
6.666518	12
6.675958	22
6.685437	28
6.694913	80392
6.704492	2392
6.713972	63
6.723422	56
6.732965	24
6.742462	8
6.751970	7
6.761418	88502
6.771022	80515
6.780538	75780
6.789973	39483
6.799445	1016
6.809025	89670
6.818547	10871
6.827958	195
6.837445	38
6.847068	53580
6.856565	1804
6.866002	77
6.875432	36
6.884910	65275
6.894422	9829
6.903635	204
6.913097	28
6.922615	0
6.932057	38004
6.941630	22932
6.951145	504
6.960672	24
6.970177	15
6.979585	7
6.989015	64425
6.998473	31526
7.008127	993
7.017735	26
7.027258	11
7.036717	0
7.046200	16
7.055595	53639
7.064995	100342
7.074495	24437
7.084137	80598
7.093818	10336
7.103302	268
7.112803	79100
7.122313	2700
7.131793	83
7.141285	39908
7.150817	16940
7.160333	436
7.169848	8
7.179280	6
7.188935	52776
7.198525	1807
7.208055	25
7.217465	58
7.226988	4
7.236450	73486
7.245987	4063
7.255482	117
