,Time,Intensity,Time.1,Intensity.1,Time.2,Intensity.2
0,0.000168,7790,0.000203,1106.0,0.000212,2358.0
1,0.002135,7880,0.003795,1143.0,0.004912,2202.0
2,0.004102,7713,0.007272,960.0,0.009618,2013.0
3,0.006148,7734,0.010835,1217.0,0.014338,2139.0
4,0.008108,7834,0.014348,1164.0,0.019007,2081.0
5,0.010088,8015,0.017918,981.0,0.023752,2079.0
6,0.012072,7413,0.021443,989.0,0.028433,2188.0
7,0.01404,7148,0.024985,1197.0,0.033172,2024.0
8,0.016005,7721,0.028487,864.0,0.037992,2088.0
9,0.017948,6535,0.03214,1058.0,0.042713,1976.0
10,0.01989,7441,0.035702,989.0,0.04739,2121.0
11,0.021845,7222,0.039228,965.0,0.052115,1986.0
12,0.023802,7365,0.042783,730.0,0.056803,2008.0
13,0.025843,6683,0.046358,686.0,0.061478,2189.0
14,0.027798,6934,0.049892,719.0,0.066182,1730.0
15,0.029753,6839,0.053455,830.0,0.070928,1811.0
16,0.031698,6893,0.056977,1131.0,0.0757,1977.0
17,0.033668,6761,0.06056,921.0,0.0804,1904.0
18,0.035652,6670,0.064073,912.0,0.08508,1970.0
19,0.037615,6475,0.067612,775.0,0.089765,1793.0
20,0.039573,5806,0.071135,844.0,0.094495,1936.0
21,0.041527,6653,0.074707,662.0,0.099178,1712.0
22,0.043565,5727,0.078292,0.0,0.103877,1889.0
23,0.045587,6308,0.083103,0.0,0.1086,1729.0
24,0.047552,6688,0.088,3737.0,0.113368,1813.0
25,0.049503,6538,0.092955,51630.0,0.118102,1701.0
26,0.051447,5610,0.096948,50562.0,0.122778,1642.0
27,0.053398,6565,0.100375,14607.0,0.127445,1887.0
28,0.055348,6199,0.103922,6619.0,0.132092,2013.0
29,0.057312,6148,0.10744,3194.0,0.136727,195537.0
30,0.059275,6438,0.110993,0.0,0.141402,0.0
31,0.061228,5962,0.1158,0.0,0.14749,75.0
32,0.063303,5826,0.12066,1881.0,0.153515,33323.0
33,0.065267,6861,0.125653,40590.0,0.159542,112665.0
34,0.067235,5536,0.129867,66015.0,0.164062,18956.0
35,0.069185,6651,0.133223,16280.0,0.168807,7475.0
36,0.071132,6287,0.1368,7580.0,0.17353,0.0
