,Time,Intensity,Time.1,Intensity.1,Time.2,Intensity.2
0,0.000168,3221,0.000197,226.0,0.000203,956.0
1,0.002803,3570,0.005055,216.0,0.006228,1029.0
2,0.005453,3351,0.009915,0.0,0.012262,961.0
3,0.008143,3440,0.014783,0.0,0.018292,0.0
4,0.010848,3468,0.019733,163.0,0.024318,0.0
5,0.013528,3254,0.024628,6095.0,0.030435,558.0
6,0.016142,295606,0.029497,0.0,0.036498,0.0
7,0.018783,554971,0.03436,0.0,0.042525,0.0
8,0.021408,658239,0.03922,168.0,0.048552,698.0
9,0.023942,788431,0.04409,6031.0,0.054582,0.0
10,0.026387,895501,0.048948,0.0,0.060608,0.0
11,0.028883,732104,0.053808,0.0,0.066635,455.0
12,0.031328,372428,0.058802,164.0,0.072715,0.0
13,0.033863,375724,0.063662,5788.0,0.078827,0.0
14,0.036442,413722,0.068522,0.0,0.084853,577.0
15,0.039033,470938,0.073397,0.0,0.090895,0.0
16,0.041517,779117,0.078257,154.0,0.096923,0.0
17,0.04417,783133,0.083117,6391.0,0.10295,642.0
18,0.046605,745812,0.087985,0.0,0.109013,0.0
19,0.049113,410747,0.092882,2.0,0.11504,0.0
20,0.05161,370086,0.09783,192.0,0.121068,376.0
21,0.054118,381929,0.102698,6329.0,0.127187,0.0
22,0.056765,650595,0.107558,0.0,0.133222,0.0
23,0.05935,772658,0.112425,0.0,0.139248,567.0
24,0.061863,501632,0.117295,166.0,0.145312,0.0
25,0.064357,739966,0.122155,6485.0,0.151338,0.0
26,0.066827,531456,0.12705,0.0,0.157367,599.0
27,0.069427,292999,0.131922,0.0,0.163393,0.0
28,0.071987,414783,0.136868,183.0,0.169512,0.0
29,0.074615,579385,0.14173,6094.0,0.175538,542.0
30,0.077107,751063,0.146603,0.0,0.181602,0.0
31,0.079567,726981,0.151465,0.0,0.187632,0.0
32,0.082008,857622,0.156325,152.0,0.193668,633.0
33,0.084423,528289,0.16123,6257.0,0.199695,0.0
34,0.086917,285348,0.166088,0.0,0.205722,0.0
35,0.089468,378820,0.17095,6.0,0.211748,500.0
36,0.09218,675156,0.175905,192.0,0.217903,0.0
37,0.094728,761240,0.180765,6523.0,0.223932,0.0
38,0.097187,759728,0.185625,0.0,0.229958,614.0
39,0.099625,779878,0.190485,0.0,0.235985,0.0
40,0.102067,652455,0.195382,172.0,0.242012,0.0
41,0.104563,371857,0.200242,6899.0,0.24804,530.0
42,0.107138,380660,0.205102,0.0,0.254113,0.0
43,0.109737,720332,0.21006,0.0,0.26014,0.0
