,Time,Intensity,Time.1,Intensity.1,Time.2,Intensity.2
0,0.000168,13184,0.000203,2164.0,0.08983,0.0
1,0.002107,11401,0.003767,1886.0,0.094558,0.0
2,0.004058,13099,0.007285,2111.0,0.100568,65.0
3,0.006008,12180,0.010797,1902.0,0.106595,0.0
4,0.008078,11738,0.01443,1854.0,0.112622,2.0
5,0.010027,12643,0.017963,1801.0,0.118648,7363.0
6,0.011968,12203,0.021462,1966.0,0.124675,0.0
7,0.013922,12392,0.02495,1634.0,0.130787,8.0
8,0.015905,11745,0.028447,1674.0,0.136858,7486.0
9,0.017843,11788,0.03198,1779.0,0.142883,0.0
10,0.019795,12554,0.035537,1741.0,0.14891,4.0
11,0.021747,11850,0.039093,1561.0,0.154947,6886.0
12,0.023688,12072,0.042707,1705.0,0.160972,5.0
13,0.025727,11056,0.046265,1827.0,0.166998,7.0
14,0.02768,12283,0.049785,1750.0,0.173063,7668.0
15,0.029638,9979,0.053338,1683.0,0.179168,2.0
16,0.03157,11302,0.056892,1568.0,0.185192,0.0
17,0.033522,11631,0.060473,1861.0,0.191218,6507.0
18,0.035477,11843,0.063992,1248.0,0.197253,0.0
19,0.037442,12302,0.06751,1602.0,0.20328,0.0
20,0.039383,12124,0.071115,1376.0,0.209343,6245.0
21,0.041397,11530,0.074707,0.0,0.215372,0.0
22,0.04336,11072,0.078217,0.0,0.221397,0.0
23,0.04533,11235,0.083013,2.0,0.227427,6238.0
24,0.047358,10983,0.087873,0.0,0.233538,0.0
25,0.049303,11869,0.092733,0.0,0.239565,4.0
26,0.051252,12085,0.097593,14.0,0.245637,7797.0
27,0.053213,9960,0.102455,0.0,0.251662,0.0
28,0.055157,10240,0.107313,0.0,0.257698,5.0
29,0.057095,10923,0.112297,15.0,0.263725,7998.0
30,0.059048,11057,0.117157,0.0,0.26975,0.0
31,0.061,10317,0.122017,0.0,0.275778,4.0
32,0.062953,10445,0.126875,7.0,0.281842,6449.0
33,0.064975,11157,0.131738,0.0,0.28795,0.0
34,0.066912,9552,0.136603,0.0,0.293977,11.0
35,0.068863,11223,0.141463,8.0,0.300012,7637.0
36,0.070828,10889,0.14636,0.0,0.306037,0.0
37,0.072787,10843,0.151222,2.0,0.312063,3.0
38,0.074772,9710,0.156168,7.0,0.318137,5842.0
39,0.076703,10310,0.161028,0.0,0.324163,6.0
40,0.078635,11049,0.165888,0.0,0.33019,6.0
41,0.08066,10393,0.170748,0.0,0.336217,8273.0
42,0.082607,10671,0.175607,0.0,0.342332,1.0
43,0.084557,10464,0.180503,3.0,0.348358,9.0
44,0.086505,8853,0.185363,9.0,0.354423,7706.0
