,Time,Intensity,Time.1,Intensity.1,Time.2,Intensity.2
0,0.000168,14866,0.000203,1234.0,0.000203,3705.0
1,0.002123,14769,0.00372,1068.0,0.004907,4147.0
2,0.004102,14587,0.007243,1151.0,0.009625,4157.0
3,0.006083,14041,0.01074,1140.0,0.01427,3699.0
4,0.008033,13920,0.014275,1256.0,0.019038,3754.0
5,0.009987,11923,0.017817,1164.0,0.02375,3373.0
6,0.012013,12974,0.021353,1154.0,0.028483,3157.0
7,0.013983,13300,0.025057,1094.0,0.033207,3263.0
8,0.015945,14215,0.028602,951.0,0.037898,3160.0
9,0.01791,12038,0.032187,1024.0,0.042585,3485.0
10,0.019852,11641,0.035803,1079.0,0.047243,3134.0
11,0.021917,11489,0.03934,1064.0,0.051965,3006.0
12,0.023857,12105,0.042862,1141.0,0.056787,3222.0
13,0.025808,11091,0.046423,1157.0,0.061537,2817.0
14,0.027768,12039,0.049998,1167.0,0.066282,3111.0
15,0.029845,11123,0.053492,1035.0,0.07104,2686.0
16,0.031827,10434,0.05702,1064.0,0.075743,2501.0
17,0.033793,11246,0.060638,942.0,0.080458,2904.0
18,0.035753,10654,0.064173,1067.0,0.085158,2971.0
19,0.037725,10942,0.067753,1176.0,0.089845,3043.0
20,0.039745,10022,0.07131,916.0,0.094575,2723.0
21,0.041738,11387,0.074855,1020.0,0.099277,2724.0
22,0.04372,10038,0.078328,974.0,0.104015,2258.0
23,0.04566,9168,0.081825,1006.0,0.108837,2517.0
24,0.047617,10655,0.085377,1192.0,0.113572,2820.0
25,0.049653,10903,0.08886,1066.0,0.118257,2554.0
26,0.05163,10168,0.092343,913.0,0.122942,2383.0
27,0.053587,9985,0.095982,751.0,0.127618,2214.0
28,0.055545,1445668,0.09953,977.0,0.132405,147216.0
29,0.057497,1862805,0.103027,901.0,0.137117,0.0
30,0.059437,2596835,0.106578,912.0,0.143127,144.0
31,0.061343,3604557,0.11013,922.0,0.149153,40923.0
32,0.063263,2244737,0.113625,777.0,0.155062,84769.0
33,0.065165,3386316,0.117175,880.0,0.159702,0.0
34,0.067155,3160282,0.12073,824.0,0.165665,0.0
35,0.06908,1511008,0.124258,1158.0,0.171697,13073.0
36,0.070995,1011052,0.127833,871.0,0.177843,78142.0
37,0.07292,606371,0.131377,685.0,0.182718,0.0
38,0.074922,353403,0.134927,946.0,0.188717,0.0
39,0.076877,1421165,0.13845,953.0,0.194743,18531.0
40,0.078822,1836132,0.142035,813.0,0.200768,126893.0
41,0.080747,2674102,0.145578,941.0,0.205387,0.0
42,0.08267,3247357,0.149145,692.0,0.211387,0.0
43,0.084678,3667721,0.152737,850.0,0.217505,16929.0
44,0.086603,3184548,0.15639,0.0,0.22354,152284.0
45,0.088505,2982501,0.16119,3.0,0.228058,0.0
46,0.090415,2095303,0.16605,1253.0,0.234023,0.0
47,0.092335,1100477,0.17092,38071.0,0.24006,15117.0
48,0.094277,660978,0.175305,38034.0,0.246123,128203.0
49,0.09622,397252,0.17898,0.0,0.250727,0.0
50,0.098182,1488578,0.183805,0.0,0.256697,0.0
51,0.100143,2322273,0.188792,1174.0,0.262812,14986.0
52,0.102115,3052792,0.193735,31681.0,0.268837,135080.0
53,0.104147,2791801,0.19826,38710.0,0.273378,0.0
54,0.106063,3802267,0.201903,0.0,0.27934,4.0
55,0.107972,3315375,0.206723,0.0,0.285408,13876.0
56,0.109912,3161187,0.21162,1661.0,0.291443,73882.0
57,0.111827,1614772,0.21648,36688.0,0.296372,0.0
58,0.11375,1122200,0.22081,37065.0,0.302382,0.0
59,0.115705,663494,0.224572,0.0,0.308495,20275.0
60,0.117653,379696,0.229393,0.0,0.314522,73773.0
61,0.119613,1471137,0.234255,1258.0,0.319473,0.0
62,0.121662,2616015,0.239115,31095.0,0.325457,16.0
63,0.123622,3028279,0.243697,73500.0,0.331483,16672.0
64,0.125547,3863974,0.24708,0.0,0.337508,76349.0
65,0.12747,4068940,0.250633,2.0,0.34235,0.0
66,0.12937,4015304,0.255455,98.0,0.348332,4.0
67,0.131277,3222857,0.260403,20414.0,0.354395,13924.0
68,0.133178,1558335,0.265262,45881.0,0.360507,79753.0
69,0.135117,1056166,0.268952,0.0,0.365382,0.0
70,0.137083,659040,0.273775,0.0,0.371363,0.0
71,0.139128,342071,0.278637,2188.0,0.37739,20109.0
72,0.141087,1378309,0.283532,37516.0,0.383415,142208.0
73,0.143048,1716698,0.287805,70807.0,0.387982,0.0
74,0.145025,2815561,0.291175,0.0,0.393943,0.0
