,Time,Intensity,Time.1,Intensity.1,Time.2,Intensity.2
0,0.000168,3683,0.000198,567.0,0.000293,1221.0
1,0.002235,4106,0.003703,561.0,0.004972,1227.0
2,0.00419,3739,0.007233,525.0,0.00971,897.0
3,0.00614,3897,0.010818,666.0,0.014453,1315.0
4,0.00809,3420,0.014337,586.0,0.019138,1262.0
5,0.010055,3531,0.017853,306.0,0.023833,1077.0
6,0.012035,3789,0.021405,423.0,0.028545,1064.0
7,0.014023,4100,0.024945,455.0,0.033208,954.0
8,0.015977,3867,0.028452,416.0,0.038053,959.0
9,0.017953,4433,0.031993,431.0,0.042747,854.0
10,0.020005,3671,0.035518,410.0,0.047467,1077.0
11,0.021957,3888,0.039152,495.0,0.052148,948.0
12,0.023902,3879,0.042748,342.0,0.056832,945.0
13,0.025847,3454,0.046282,437.0,0.061517,829.0
14,0.027803,4683,0.049817,327.0,0.066213,863.0
15,0.029768,3900,0.05333,395.0,0.070898,988.0
16,0.031758,3649,0.056862,381.0,0.07554,754.0
17,0.03372,3254,0.060433,379.0,0.080342,923.0
18,0.035672,3448,0.063942,370.0,0.085047,957.0
19,0.037658,3596,0.067592,521.0,0.089788,83998.0
20,0.039617,3848,0.071077,446.0,0.09455,12.0
21,0.041673,3282,0.074652,459.0,0.100532,25433.0
22,0.043618,3476,0.078233,294.0,0.106558,115222.0
23,0.045567,3152,0.081827,351.0,0.111127,20297.0
24,0.047558,3785,0.085337,299.0,0.115827,6712.0
25,0.049528,3717,0.088852,409.0,0.120538,3.0
26,0.05147,3414,0.092407,308.0,0.126585,5563.0
27,0.053407,3376,0.095927,328.0,0.132612,80934.0
28,0.055368,3744,0.099563,333.0,0.137588,32541.0
29,0.05732,3590,0.103097,467.0,0.142397,8388.0
30,0.05938,3986,0.1066,346.0,0.147107,2835.0
31,0.061332,3521,0.11009,341.0,0.151877,0.0
32,0.063327,4155,0.11367,367.0,0.157888,2559.0
33,0.065293,3504,0.11718,117650.0,0.163915,82896.0
34,0.067273,3635,0.120715,0.0,0.169003,39424.0
35,0.069243,3648,0.125597,4892.0,0.1738,10458.0
36,0.071198,3102,0.130457,49242.0,0.178533,3949.0
37,0.073145,3656,0.134483,32248.0,0.18322,0.0
38,0.075098,3345,0.138102,11904.0,0.189198,2945.0
39,0.077048,3509,0.141693,3938.0,0.195262,94483.0
40,0.079013,3278,0.145243,1573.0,0.200267,46625.0
41,0.081115,3248,0.148822,950.0,0.205005,12729.0
42,0.083062,2968,0.152425,0.0,0.209672,4009.0
43,0.085,3559,0.157237,1001.0,0.21439,3.0
44,0.086958,3427,0.162332,33638.0,0.22035,2047.0
45,0.088913,3439,0.16681,38009.0,0.226377,86363.0
46,0.090888,3063,0.170467,14379.0,0.231472,41635.0
47,0.092852,3953,0.174023,5584.0,0.236248,13419.0
48,0.094803,3470,0.177548,2522.0,0.240938,4157.0
49,0.096777,3591,0.181057,1442.0,0.245638,0.0
50,0.098843,3472,0.18461,0.0,0.251615,2577.0
51,0.100785,3457,0.189413,1381.0,0.257727,85718.0
52,0.102728,3330,0.19436,35591.0,0.262773,41122.0
53,0.104688,3367,0.198722,62820.0,0.267563,11383.0
54,0.106652,3455,0.202135,14951.0,0.272262,3955.0
55,0.108577,3131,0.20569,5745.0,0.277003,0.0
56,0.110513,3890,0.209245,2353.0,0.282978,2588.0
57,0.112485,3538,0.212762,1169.0,0.289005,86801.0
58,0.114508,3460,0.216283,0.0,0.294055,46183.0
59,0.11648,3219,0.221218,1166.0,0.29874,12725.0
60,0.11845,3373,0.226077,30029.0,0.303537,4041.0
61,0.120503,3414,0.230627,42676.0,0.30825,0.0
62,0.122468,3144,0.234263,16387.0,0.314227,2370.0
63,0.124422,3553,0.237825,5132.0,0.320262,79298.0
64,0.126388,3468,0.241385,2785.0,0.32537,39783.0
65,0.128338,3506,0.24492,2714.0,0.330167,11279.0
66,0.130287,3605,0.248457,0.0,0.334873,4601.0
67,0.132247,3239,0.25334,1923.0,0.339612,0.0
68,0.134223,3439,0.258237,40646.0,0.345578,2765.0
69,0.136175,3309,0.262567,51325.0,0.3517,82949.0
70,0.138118,3058,0.266047,14896.0,0.3568,39181.0
71,0.14017,2984,0.26962,5176.0,0.36156,11682.0
72,0.14217,2671,0.273223,2188.0,0.36627,4505.0
73,0.144163,2898869,0.276723,1385.0,0.370985,4.0
74,0.146123,3123216,0.280247,0.0,0.376988,2779.0
75,0.14808,3079103,0.285147,1068.0,0.383017,87272.0
76,0.149998,3484883,0.290007,33657.0,0.388052,45715.0
77,0.151898,2823433,0.294557,60575.0,0.39289,11895.0
78,0.1538,2333122,0.29797,13364.0,0.397585,4663.0
79,0.1557,2016276,0.301632,6059.0,0.40226,0.0
80,0.157635,986797,0.305202,2234.0,0.408228,1992.0
81,0.15957,607396,0.308737,1164.0,0.414292,87794.0
82,0.161622,307053,0.312292,0.0,0.419355,41731.0
83,0.163588,177608,0.3171,1127.0,0.424138,13232.0
84,0.165547,85217,0.322047,34999.0,0.428798,4846.0
85,0.1675,51948,0.32652,65807.0,0.433542,0.0
86,0.16945,29931,0.329937,15242.0,0.439518,2099.0
87,0.171425,17112,0.333495,5652.0,0.445548,84087.0
88,0.173395,340638,0.337033,2496.0,0.450678,88043.0
89,0.175377,2924468,0.340552,1485.0,0.455178,13756.0
90,0.177295,3726497,0.344072,0.0,0.459877,4179.0
91,0.179292,2214786,0.348875,942.0,0.46459,0.0
92,0.181198,3192476,0.353817,36868.0,0.470567,1941.0
93,0.183142,1948741,0.35821,77116.0,0.476593,78422.0
94,0.18505,2095869,0.36157,15227.0,0.481832,43057.0
95,0.186977,1047100,0.36521,5814.0,0.486632,11495.0
96,0.188927,640868,0.368777,2454.0,0.491432,4610.0
97,0.1909,340745,0.372297,1394.0,0.496113,3.0
98,0.192868,196969,0.375847,0.0,0.502077,3316.0
99,0.194837,99562,0.380663,1039.0,0.508103,80167.0
100,0.196887,56216,0.385608,32294.0,0.513163,40854.0
101,0.198858,33596,0.390127,76716.0,0.517913,10708.0
102,0.20082,21318,0.393477,16876.0,0.522798,4464.0
103,0.202808,2856843,0.397033,6491.0,0.527477,0.0
104,0.204772,2551685,0.400598,2629.0,0.533442,2812.0
105,0.206692,2198203,0.404143,1462.0,0.539468,80556.0
106,0.2086,3259459,0.407682,0.0,0.544552,44513.0
107,0.210518,3079850,0.412492,1069.0,0.549278,12708.0
108,0.212433,2795271,0.417352,29312.0,0.553967,4573.0
109,0.214345,1539718,0.421875,36943.0,0.558808,0.0
110,0.216345,943485,0.425633,14805.0,0.56478,1945.0
111,0.218305,587813,0.429185,5146.0,0.57081,84360.0
112,0.220257,334172,0.432718,2249.0,0.575888,66382.0
113,0.222215,185194,0.436257,1321.0,0.580438,12610.0
114,0.22417,104820,0.439815,0.0,0.585153,4832.0
115,0.226143,58080,0.444625,1651.0,0.58982,0.0
116,0.22812,36026,0.449485,37542.0,0.59522,785.0
117,0.230103,20991,0.453765,38469.0,0.60133,75023.0
118,0.232092,1126491,0.45752,16547.0,0.606513,59349.0
119,0.234078,2059376,0.461078,5466.0,0.611213,14558.0
120,0.2361,3811853,0.464638,2424.0,0.61592,5210.0
121,0.23802,3226559,0.468185,1190.0,0.620617,2.0
122,0.23995,3979459,0.471768,0.0,0.62659,2503.0
123,0.241873,3019924,0.476582,1129.0,0.632653,92478.0
124,0.243787,1574860,0.48145,35323.0,0.637662,47547.0
125,0.245717,1073906,0.485885,73200.0,0.642475,11117.0
126,0.24765,611641,0.489335,17576.0,0.64717,4285.0
127,0.249613,330256,0.49284,6253.0,0.651872,0.0
128,0.2516,178496,0.496358,2844.0,0.657852,2364.0
129,0.253548,103168,0.499847,1392.0,0.663878,83294.0
130,0.25561,55616,0.503418,0.0,0.66901,46397.0
131,0.257587,31624,0.508267,874.0,0.673735,14213.0
132,0.259572,19097,0.51313,31275.0,0.67838,4927.0
133,0.261562,3283152,0.517643,65003.0,0.683045,0.0
134,0.263523,2916354,0.521128,15296.0,0.689028,2069.0
135,0.265448,3639939,0.524725,6896.0,0.695147,85887.0
136,0.267367,3325679,0.528232,2657.0,0.70019,43408.0
137,0.269282,2177397,0.5318,1376.0,0.704975,11603.0
138,0.271282,2660926,0.535388,0.0,0.70973,4369.0
139,0.273203,1552346,0.54019,1187.0,0.714438,2.0
140,0.275128,985626,0.545087,38118.0,0.720403,2522.0
