,Time,Intensity,Time.1,Intensity.1,Time.2,Intensity.2
0,0.000168,6278,0.000212,565.0,0.000212,1166.0
1,0.002127,7189,0.003752,425.0,0.004932,1300.0
2,0.004095,5905,0.007407,709.0,0.009592,1345.0
3,0.006148,6414,0.010917,456.0,0.014292,1158.0
4,0.008155,7073,0.01441,557.0,0.018967,1049.0
5,0.010102,6319,0.017967,521.0,0.02374,1140.0
6,0.01206,5941,0.02154,460.0,0.028425,1047.0
7,0.013993,6480,0.025178,543.0,0.033183,1219.0
8,0.015938,6316,0.028685,455.0,0.037885,1037.0
9,0.017895,6171,0.032212,341.0,0.042547,1091.0
10,0.019865,5946,0.035867,409.0,0.04719,1159.0
11,0.021813,5746,0.03945,393.0,0.051885,894.0
12,0.02377,5788,0.043015,407.0,0.056553,1170.0
13,0.025738,5401,0.046542,426.0,0.06127,1026.0
14,0.027782,5593,0.05007,363.0,0.066063,813.0
15,0.029735,5341,0.053575,398.0,0.070792,971.0
16,0.031707,6086,0.057177,510.0,0.075475,1050.0
17,0.033652,5283,0.060693,540.0,0.08015,802.0
18,0.035592,5799,0.064298,370.0,0.08486,812.0
19,0.037547,5900,0.067883,325.0,0.089617,0.0
20,0.039518,4939,0.071462,397.0,0.095645,2448.0
21,0.04151,5630,0.074983,388.0,0.101672,82238.0
22,0.043468,5134,0.078492,399.0,0.106708,46839.0
23,0.045527,5189,0.082065,427.0,0.111508,9638.0
24,0.047507,5167,0.08559,421.0,0.116288,327953.0
25,0.049455,5540,0.089082,416.0,0.12097,0.0
26,0.051438,5563,0.092617,0.0,0.126935,13343.0
27,0.05343,6122,0.097517,438.0,0.132998,87004.0
28,0.055397,5241,0.102378,24118.0,0.13785,26694.0
29,0.057352,5702,0.10723,45028.0,0.14258,8855.0
30,0.059305,5002,0.110867,16337.0,0.147265,378848.0
31,0.061273,4868,0.114428,6117.0,0.151972,0.0
32,0.063228,4932,0.117962,2686.0,0.158042,10630.0
33,0.065258,5370,0.121438,0.0,0.164068,82617.0
34,0.067223,5367,0.125045,12.0,0.169002,30071.0
35,0.069217,5549,0.129888,9986.0,0.173743,8235.0
36,0.071212,5138,0.13475,52080.0,0.178475,270982.0
37,0.07318,4867,0.13858,25714.0,0.183223,3.0
38,0.075193,5165,0.142178,9369.0,0.189212,14141.0
39,0.077155,5178,0.14571,3544.0,0.195238,84495.0
40,0.079105,183656,0.149258,0.0,0.200183,30749.0
41,0.081158,3243604,0.152777,3.0,0.204905,7515.0
42,0.083075,3106465,0.15767,11211.0,0.209652,303680.0
43,0.084982,1825164,0.16253,54661.0,0.21435,6.0
44,0.086895,1317298,0.166315,23905.0,0.22032,10875.0
45,0.088817,899005,0.169915,9612.0,0.226348,86736.0
46,0.090763,524448,0.173448,3380.0,0.231227,28950.0
47,0.092747,295625,0.176985,0.0,0.235977,9600.0
48,0.094735,151306,0.180553,10.0,0.240767,335039.0
49,0.096688,81626,0.185368,10091.0,0.245432,2.0
50,0.098652,46468,0.190305,50369.0,0.251403,9877.0
51,0.100697,23952,0.194153,27432.0,0.257428,82675.0
52,0.102667,15023,0.197733,10329.0,0.262405,32316.0
53,0.104617,11605,0.20129,3632.0,0.267142,8570.0
54,0.106578,8453,0.204863,0.0,0.271845,321108.0
55,0.108598,3309098,0.208393,10.0,0.276585,0.0
56,0.110508,3262463,0.21321,11472.0,0.282638,12178.0
57,0.112412,3087675,0.21807,49714.0,0.288663,120031.0
