,Time,Intensity,Time.1,Intensity.1,Time.2,Intensity.2
0,0.0,6822,0.000203,293.0,0.000212,1714.0
1,0.000168,6780,0.00366,345.0,0.004952,1756.0
2,0.002122,7335,0.007132,318.0,0.009627,1341.0
3,0.00409,6446,0.01062,212.0,0.014297,1279.0
4,0.00604,7170,0.014068,189.0,0.018978,1329.0
5,0.007995,7120,0.01755,295.0,0.023645,1183.0
6,0.009945,7055,0.020983,282.0,0.028337,1213.0
7,0.011902,6584,0.024468,264.0,0.0331,1199.0
8,0.013867,7174,0.028008,194.0,0.037775,1542.0
9,0.015827,6831,0.031495,233.0,0.042445,905.0
10,0.017782,6497,0.034985,326.0,0.047102,1212.0
11,0.019832,6162,0.038443,278.0,0.051798,1187.0
12,0.021802,6224,0.041888,344.0,0.056458,1089.0
13,0.023795,6832,0.045368,289.0,0.061132,1077.0
14,0.025763,6166,0.048852,255.0,0.065905,998.0
15,0.027723,6312,0.052423,203.0,0.07059,1025.0
16,0.029662,6316,0.055997,322.0,0.07526,955.0
17,0.031627,6314,0.05948,209.0,0.08004,937.0
18,0.0336,5868,0.062988,136.0,0.084692,983.0
19,0.035555,5804,0.066533,436.0,0.089362,369923.0
20,0.037615,5732,0.070057,160.0,0.094057,0.0
21,0.039587,5428,0.07356,169.0,0.100028,10420.0
22,0.041588,6257,0.077037,217.0,0.106055,79818.0
23,0.043568,5885,0.080523,246.0,0.111008,30635.0
24,0.045515,5383,0.08415,219.0,0.115857,8595.0
25,0.047477,5754,0.08773,192.0,0.120532,218.0
26,0.049455,5554,0.09122,132.0,0.125243,24.0
27,0.051437,5359,0.09477,173.0,0.131213,29978.0
28,0.053443,5078,0.098407,205.0,0.137238,70906.0
29,0.055482,5055,0.10207,199.0,0.14204,21049.0
30,0.057468,5464,0.105742,128.0,0.146748,0.0
31,0.059413,5400,0.10947,121.0,0.151427,163.0
32,0.061393,5959,0.113117,164.0,0.157408,45881.0
33,0.06337,5543,0.11681,0.0,0.163135,61399.0
34,0.065307,5280,0.120475,25.0,0.16793,14382.0
35,0.067283,5299,0.125318,7509.0,0.172697,0.0
36,0.069268,5731,0.130178,49885.0,0.177372,82.0
37,0.071212,5307,0.134047,23963.0,0.183338,45905.0
38,0.073277,5597,0.137668,8783.0,0.18912,58517.0
39,0.075232,4976,0.141275,342569.0,0.193948,17545.0
40,0.077182,5267,0.144892,0.0,0.19867,0.0
41,0.07912,4938,0.149778,3029.0,0.203348,102.0
42,0.081077,5772,0.154638,45465.0,0.209322,42160.0
43,0.08303,5262,0.158797,30820.0,0.215105,106542.0
44,0.084983,5130,0.16247,13000.0,0.21962,17467.0
45,0.08695,4810,0.166048,4439.0,0.224392,0.0
46,0.088905,5003,0.16961,1894.0,0.229115,76.0
47,0.091018,5300,0.173212,0.0,0.23508,30840.0
48,0.093017,4366,0.178022,1136.0,0.241068,107643.0
49,0.094995,4707,0.182968,31084.0,0.245593,18591.0
50,0.096963,4702,0.187532,39744.0,0.25036,0.0
51,0.098925,4676,0.191197,14369.0,0.255053,104.0
52,0.10087,4963,0.194763,5044.0,0.26106,37845.0
53,0.102805,4924,0.19832,2089.0,0.266872,56681.0
54,0.104788,4607,0.201922,0.0,0.27167,16115.0
55,0.106753,5377,0.206733,1662.0,0.27636,0.0
56,0.108717,4602,0.211608,38243.0,0.281,81.0
57,0.11067,4698,0.215968,67338.0,0.286962,37349.0
58,0.112717,4714,0.219337,12328.0,0.292917,106296.0
59,0.114693,4528,0.222968,4801.0,0.297562,14272.0
60,0.116658,4912,0.22650700000000001,2231.0,0.302327,0.0
61,0.11862,4682,0.230115,0.0,0.307043,152.0
62,0.120577,4784,0.234925,917.0,0.31301,41214.0
63,0.12254,5094,0.239785,28743.0,0.318807,56563.0
64,0.124553,5047,0.244483,65911.0,0.323633,16047.0
65,0.126498,4341,0.247853,15636.0,0.32838,0.0
66,0.12848,4203,0.251452,5407.0,0.333108,140.0
67,0.130445,4732,0.255075,2312.0,0.339082,47328.0
68,0.132488,4829,0.258645,0.0,0.344822,60164.0
69,0.134453,4650,0.263482,1594.0,0.349597,16382.0
70,0.136418,2666102,0.26835,37777.0,0.354323,0.0
71,0.138332,3222611,0.27274,35072.0,0.359043,93.0
72,0.140248,3280801,0.276435,13445.0,0.365017,41643.0
73,0.14216,3644337,0.28002,4673.0,0.37086,110706.0
74,0.144075,2574778,0.283612,2286.0,0.375358,17269.0
75,0.146003,1573233,0.287203,0.0,0.380087,13.0
76,0.147933,1118890,0.2921,1448.0,0.384812,77.0
77,0.149957,692886,0.296997,33568.0,0.390875,41972.0
78,0.151908,377441,0.301473,35380.0,0.396722,57650.0
79,0.153863,210672,0.305138,12821.0,0.401562,18786.0
80,0.155805,115595,0.308738,4261.0,0.40627,0.0
81,0.157747,64548,0.31235,1973.0,0.410995,198.0
82,0.159738,38415,0.315905,0.0,0.41697,54834.0
83,0.161708,3026513,0.320722,1600.0,0.422527,56017.0
84,0.163647,3270359,0.325667,37484.0,0.427337,17921.0
85,0.165572,2810341,0.329953,37864.0,0.43213,0.0
86,0.167568,3689979,0.333635,13483.0,0.43682,73.0
87,0.169467,3379862,0.337228,4733.0,0.442823,40093.0
88,0.17138,1697794,0.340788,2327.0,0.448705,62599.0
89,0.173282,1223840,0.344322,0.0,0.453497,17129.0
90,0.175205,774240,0.349128,1281.0,0.458218,0.0
91,0.177137,436244,0.353988,35266.0,0.462895,134.0
