,Time,Intensity,Time.1,Intensity.1,Time.2,Intensity.2
0,0.000163,3415,0.000203,507.0,0.000207,878.0
1,0.002123,3835,0.003713,514.0,0.00495,972.0
2,0.004065,4160,0.007277,388.0,0.009597,1043.0
3,0.006073,3590,0.010765,560.0,0.014288,1015.0
4,0.008023,3710,0.01426,492.0,0.018975,849.0
5,0.009993,3474,0.017812,543.0,0.02365,961.0
6,0.011968,3577,0.02133,524.0,0.028345,935.0
7,0.013933,3732,0.024978,484.0,0.033048,839.0
8,0.015903,3243,0.028557,553.0,0.037748,333104.0
9,0.01786,3905,0.03212,510.0,0.042438,0.0
10,0.019818,3464,0.035617,461.0,0.048405,7143.0
11,0.021773,3644,0.039172,582.0,0.054513,135783.0
12,0.023838,3350,0.04269,456.0,0.059133,36193.0
13,0.025835,2915,0.046245,462.0,0.063848,10757.0
14,0.027782,3517,0.049735,417.0,0.06852,3328.0
15,0.029772,4001,0.05327,263.0,0.073215,301842.0
16,0.031742,3433,0.056915,477.0,0.077892,8.0
17,0.033717,3446,0.060392,330.0,0.083857,22864.0
18,0.035688,3539,0.063903,282.0,0.089892,79830.0
19,0.03767,3723,0.067437,353.0,0.0948,22236.0
20,0.039628,2949,0.071013,566.0,0.099548,6513.0
21,0.041667,3861,0.074552,483.0,0.10423,2860.0
22,0.043618,3528,0.078072,433.0,0.108947,308775.0
23,0.045605,3522,0.0816,433.0,0.113638,8.0
24,0.047565,3613,0.085198,461.0,0.119608,26544.0
25,0.049517,3402,0.088738,323.0,0.125633,64152.0
26,0.05148,2946,0.092247,3.0,0.130498,21243.0
27,0.053435,3808,0.097043,582.0,0.135338,6917.0
28,0.055388,2984,0.101948,24424.0,0.13998,2710.0
29,0.057335,3622,0.106707,41763.0,0.144653,299293.0
30,0.059538,3595,0.110337,18469.0,0.149395,16.0
31,0.061495,3755,0.113862,5819.0,0.155373,27218.0
32,0.06347,3110,0.117418,2414.0,0.161408,70431.0
33,0.065428,3679,0.121062,1402.0,0.166248,21694.0
34,0.067385,3317,0.124592,0.0,0.170998,6725.0
35,0.06932,2889,0.128107,8.0,0.17567,3042.0
36,0.07127,3542,0.13292,12127.0,0.18035,225157.0
37,0.073223,3283,0.137815,44981.0,0.18511,14.0
38,0.075177,3357,0.141732,26522.0,0.191073,27238.0
39,0.077123,3421,0.145307,10820.0,0.197098,78108.0
40,0.079162,3134,0.148905,3675.0,0.201883,21261.0
41,0.08112,3388,0.15246,1610.0,0.206643,6720.0
42,0.083093,2938,0.155987,0.0,0.211302,3313.0
43,0.085065,3712,0.160783,225.0,0.215952,259741.0
44,0.087018,3207,0.165645,22459.0,0.220767,11.0
45,0.088973,3300,0.170505,69617.0,0.226743,25350.0
46,0.090943,2982,0.17396,18405.0,0.23277,131539.0
47,0.09295,2910,0.177518,6749.0,0.237285,22923.0
48,0.09502,3339,0.181187,2588.0,0.24207,7565.0
49,0.096998,2988,0.184692,1405.0,0.24676,2732.0
50,0.09896,3355,0.188222,0.0,0.251462,310690.0
51,0.100897,3444,0.191768,14.0,0.256198,0.0
52,0.102848,3168,0.196567,9667.0,0.262258,25165.0
53,0.104805,3444,0.201428,48456.0,0.268285,132798.0
54,0.106753,3176,0.205273,26468.0,0.272858,25024.0
55,0.108727,3413,0.20893,10256.0,0.277572,7721.0
56,0.110688,3359,0.212573,3538.0,0.282247,3354.0
57,0.112682,3569,0.21609,1800.0,0.286957,363271.0
58,0.114645,3318,0.219647,2.0,0.291593,3.0
59,0.116675,3945,0.22447,291.0,0.297643,22186.0
60,0.118608,3527,0.22933,19920.0,0.30367,82205.0
61,0.120573,3476,0.234188,44610.0,0.308472,24915.0
62,0.122545,2918,0.237852,17240.0,0.313223,6464.0
63,0.124503,3549,0.241418,6318.0,0.31791,3149.0
64,0.126492,2992,0.245013,3027.0,0.322595,297315.0
65,0.128435,3154,0.248623,1477.0,0.327275,14.0
66,0.130405,3322,0.252195,0.0,0.33324,26234.0
67,0.132365,3006,0.25569,2.0,0.33936,126784.0
68,0.134415,3264,0.260498,11260.0,0.343883,22706.0
69,0.136377,3417,0.265357,53549.0,0.34865,5894.0
70,0.13834,3055544,0.269127,27458.0,0.353415,3033.0
71,0.140305,2932602,0.272793,9056.0,0.358128,261612.0
72,0.142217,3267624,0.276372,4052.0,0.36286,2.0
73,0.144145,2206193,0.27993,1602.0,0.368827,27337.0
74,0.146053,2914503,0.283497,10.0,0.374852,115750.0
75,0.147962,2349051,0.28718,21.0,0.379547,23517.0
76,0.149893,1355160,0.292077,12559.0,0.38431,7068.0
77,0.151812,891726,0.296937,49148.0,0.389003,2976.0
78,0.153827,528326,0.30071,25394.0,0.393763,276883.0
79,0.155773,284414,0.304263,9735.0,0.398487,0.0
80,0.157725,151301,0.307758,3416.0,0.40446,23152.0
81,0.159692,84127,0.311262,1598.0,0.410487,129952.0
82,0.16171,46656,0.314835,0.0,0.415005,20537.0
83,0.163663,27444,0.318475,24.0,0.4198,6133.0
84,0.165622,17401,0.323303,11919.0,0.42451,3236.0
85,0.167602,11065,0.328162,50061.0,0.429298,327975.0
86,0.169562,3177811,0.332008,24971.0,0.43398,6.0
87,0.17161,3166579,0.335617,9222.0,0.439945,22164.0
88,0.173527,2990649,0.33915,3597.0,0.44597,120301.0
89,0.17545,3193516,0.342678,1821.0,0.45053,24389.0
90,0.177368,3322933,0.346197,0.0,0.455308,7406.0
91,0.179288,3107702,0.349985,26.0,0.459992,3510.0
92,0.181192,1448744,0.354817,12715.0,0.464665,221302.0
93,0.183122,968037,0.359765,51442.0,0.469385,9.0
94,0.185058,569170,0.363522,23558.0,0.475445,26437.0
95,0.18701,318375,0.367105,7989.0,0.481472,136619.0
96,0.18905,170676,0.370677,4055.0,0.486032,22629.0
97,0.191027,97870,0.374193,1758.0,0.490812,7776.0
98,0.193007,52689,0.377758,0.0,0.49548,3424.0
99,0.195023,27865,0.381527,33.0,0.500127,282684.0
100,0.196993,16028,0.386373,15587.0,0.504862,15.0
101,0.19896,12506,0.391233,53610.0,0.510848,25634.0
102,0.200928,3146225,0.395078,39620.0,0.516958,68606.0
103,0.202885,2005883,0.398403,8647.0,0.521772,21650.0
104,0.204795,3109454,0.401992,4104.0,0.526537,7026.0
105,0.206713,2737824,0.405477,1837.0,0.531207,3109.0
106,0.20862,2227684,0.409018,0.0,0.535888,295987.0
107,0.210608,2725281,0.412548,7.0,0.54062,25.0
108,0.212508,1493400,0.417355,11017.0,0.54661,26199.0
109,0.214428,944576,0.422252,54128.0,0.552635,129693.0
110,0.21636,550632,0.42606,29056.0,0.557272,22716.0
111,0.218328,321383,0.429718,9628.0,0.562043,6064.0
112,0.220273,172185,0.433245,3554.0,0.566753,2460.0
113,0.222213,92960,0.436805,1761.0,0.571558,349943.0
114,0.224155,52872,0.440318,0.0,0.576233,2.0
115,0.22611,32338,0.443835,16.0,0.582207,27122.0
116,0.228082,19546,0.448642,11707.0,0.588233,131703.0
117,0.230162,13998,0.453502,46992.0,0.59289,21549.0
118,0.232135,3286885,0.457367,27094.0,0.597668,6980.0
119,0.234107,3388267,0.461058,9447.0,0.602385,3017.0
120,0.236032,3110096,0.464578,3469.0,0.60708,307967.0
121,0.237953,3408163,0.468145,1914.0,0.61183,2.0
122,0.23986,3099900,0.471683,0.0,0.6178,25421.0
123,0.241783,2496590,0.475565,43.0,0.623825,128393.0
124,0.243695,1497382,0.480387,16403.0,0.628373,23965.0
125,0.245618,990782,0.485247,51356.0,0.633223,7648.0
126,0.247553,571816,0.488978,25641.0,0.637892,2922.0
127,0.249603,305766,0.49269,9556.0,0.64258,307775.0
128,0.25155,169273,0.496178,3368.0,0.647317,8.0
129,0.253517,95307,0.499683,1776.0,0.653282,21886.0
130,0.255477,53189,0.503223,0.0,0.659308,134387.0
131,0.257442,31061,0.506755,6.0,0.663852,22350.0
132,0.259418,20654,0.511565,9597.0,0.668655,6420.0
133,0.261385,14215,0.516423,50906.0,0.673383,3311.0
134,0.263353,3067607,0.520288,49379.0,0.67817,298467.0
135,0.265327,2476317,0.523737,8972.0,0.682835,3.0
136,0.267252,3616951,0.527357,3661.0,0.688802,22574.0
137,0.269267,3105484,0.530903,1986.0,0.694828,71600.0
138,0.271182,2936082,0.534443,0.0,0.699685,21674.0
139,0.273087,2907436,0.53789,8.0,0.70442,8108.0
