,0
0,1.9723222259177213
1,1.9715043627817839
2,1.9734316416022473
3,1.972397771268329
4,1.9716303956302677
5,1.97178901903228
6,1.9724562007621278
7,1.9727637341549427
8,1.9724373738038496
9,1.97424643834089
10,1.973359188726089
11,1.9698950096319199
12,1.9721539849854335
13,1.978184449447148
14,1.9735083196826766
15,1.9702468220330682
16,1.9743188475462472
17,1.9756588557685113
18,1.9748063456241771
19,1.9740654426964093
20,1.9719950510530009
21,1.972451703603289
22,1.973093761591087
23,1.9728601798623329
