,0
0,2.3153518007425107
1,1.0806237792239113
2,2.2446555383658047
3,1.127581169058225
4,2.218919445288232
5,1.1113645340847667
6,2.2224020186318456
7,1.0989326045771546
8,2.1321453491421933
9,1.0905104999322985
10,2.2502171743089048
11,1.0986696925114472
12,2.185282812823768
13,1.0918779414443271
14,1.5326863897642409
15,1.8172554653188213
16,1.1347128327759948
17,1.4796707330224126
18,1.7178288661125956
19,1.1264901006983568
20,2.2137641625520406
21,1.0975449903965293
22,2.2472110557445877
23,1.1184291129317232
24,2.145756436113688
25,1.0804510709728512
26,2.230220517619594
27,1.1118781176214643
28,2.221603369225338
29,1.114411454266871
30,2.178808162026883
31,1.0978154755924594
32,2.254741798503598
33,1.1326598347772245
34,2.170539411404332
35,1.0780063474305979
36,2.2555852127699336
