,0
0,1.77
1,1.76
2,1.77
3,1.80
4,1.81
5,1.78
6,1.77
7,1.76
8,1.79
9,1.78
10,1.79
11,1.83
12,1.81
13,1.75
14,1.76
15,1.81
16,1.78
17,1.79
18,1.79
19,1.77
20,1.76
21,1.78
22,1.77
23,1.76
24,1.79
25,1.74
26,1.69
27,1.72
28,1.78
29,1.76
30,1.79
31,1.84
32,1.82
33,1.82
34,1.81
35,1.77
36,1.76
37,1.79
38,1.82
39,1.80
40,1.78
41,1.78
42,1.79
43,1.82
44,1.82
45,1.79
46,1.79
47,1.78
48,1.74
49,1.73
50,1.76
51,6.13
52,1.34
53,1.36
54,1.43
55,1.06
56,1.53
57,1.48
58,1.38
59,1.32
60,1.47
61,1.53
62,1.52
63,1.48
64,1.49
65,1.59
66,1.47
67,1.48
68,1.37
69,1.34
70,1.52
71,1.43
72,1.43
73,1.57
74,1.55
75,1.58
76,1.40
77,1.44
78,1.54
79,1.33
80,1.48
81,1.45
82,1.33
83,1.58
84,1.41
85,1.31
86,1.36
87,1.24
88,1.39
89,1.44
90,1.37
91,5.26
92,2.23
93,2.20
94,2.24
95,2.19
96,2.15
97,2.21
98,2.20
99,2.21
100,2.20
101,2.18
102,2.20
103,2.16
104,2.14
105,2.19
106,2.22
107,2.23
108,2.24
109,2.26
110,2.15
111,2.10
112,2.16
113,2.18
114,2.17
115,2.19
116,2.24
117,2.27
118,2.20
119,2.15
120,2.18
121,2.18
122,2.24
123,2.28
124,2.26
125,2.17
126,2.08
127,2.19
128,2.26
129,2.22
130,2.19
131,2.14
132,2.08
133,8.99
134,2.21
135,2.15
136,2.14
137,2.19
138,2.18
139,2.10
140,2.12
141,2.18
142,2.15
143,2.14
144,2.16
145,2.19
146,2.21
147,2.20
148,2.19
149,2.20
150,2.17
151,2.13
152,2.18
153,2.24
154,2.20
155,2.19
156,2.23
157,2.21
158,2.18
159,2.21
160,2.20
161,2.21
162,2.22
163,2.19
164,2.19
165,2.21
166,2.21
167,2.15
168,2.14
169,2.20
170,2.22
171,2.18
172,2.17
173,4.13
174,1.92
175,2.06
176,2.23
177,2.23
178,2.10
179,2.03
180,2.25
181,2.38
182,2.16
183,2.03
184,2.22
185,2.44
186,2.29
187,2.18
188,2.39
189,2.21
190,2.05
191,2.17
192,2.36
193,2.27
194,1.84
195,1.88
196,2.08
197,2.01
198,2.20
199,2.19
200,2.00
201,1.70
202,1.82
203,2.17
204,2.08
205,2.19
206,2.34
207,2.37
208,5.67
209,2.64
210,2.66
211,2.63
212,2.61
213,2.60
214,2.57
215,2.56
216,2.62
217,2.67
218,2.65
219,2.61
220,2.68
221,2.72
222,2.67
223,2.67
224,2.65
225,2.61
226,2.62
227,2.63
228,2.56
229,2.57
230,2.62
231,2.65
232,2.69
233,2.64
234,2.62
235,2.64
236,2.62
237,2.66
238,2.72
239,2.68
240,2.57
241,2.58
242,4.91
243,2.67
244,2.68
245,2.64
246,2.55
247,2.53
248,2.59
249,2.66
250,2.64
251,2.65
252,2.71
253,2.68
254,2.62
255,2.62
256,2.64
257,2.66
258,2.70
259,2.61
260,2.53
261,2.60
262,2.59
263,2.62
264,2.73
265,2.67
266,2.59
267,2.60
268,2.65
269,2.62
270,2.60
271,2.66
272,2.70
273,2.66
274,2.60
275,9.71
276,2.82
277,2.81
278,2.72
279,2.69
280,2.95
281,3.01
282,2.96
283,2.98
284,2.90
285,2.87
286,2.80
287,2.79
288,2.86
289,2.88
290,2.91
291,2.89
292,2.86
293,2.83
294,2.87
295,2.98
296,3.01
297,2.76
298,2.68
299,2.75
300,2.75
301,2.81
302,2.81
303,2.73
304,2.75
305,2.88
306,2.89
307,13.84
308,3.05
309,3.01
310,3.02
311,3.02
312,3.05
313,3.12
314,3.12
315,2.99
316,2.84
317,2.98
318,3.17
319,3.05
320,3.04
321,3.04
322,3.03
323,3.12
324,3.17
325,3.12
326,3.12
327,3.12
328,3.03
329,3.04
330,3.09
331,3.05
332,3.06
333,2.98
334,3.04
335,3.17
336,7.66
337,1.83
338,1.81
339,1.80
340,1.81
341,1.84
342,1.84
343,1.80
344,1.82
345,1.85
346,1.80
347,1.79
348,1.80
349,1.79
350,1.79
351,1.76
352,1.72
353,1.71
354,1.73
355,1.75
356,1.72
357,1.73
358,1.79
359,1.79
360,1.76
361,1.78
362,1.80
