,0
363,1.81
364,1.80
365,1.76
366,1.77
367,1.80
368,1.83
369,1.78
370,1.76
371,1.82
372,1.79
373,1.78
374,1.82
375,1.85
376,1.79
377,1.75
378,1.79
379,1.83
380,1.84
381,1.80
382,1.81
383,1.80
384,1.81
385,1.85
386,1.77
387,1.76
388,11.47
389,3.05
390,3.09
391,3.07
392,3.09
393,3.13
394,3.15
395,3.15
396,3.09
397,3.09
398,3.06
399,3.02
400,3.09
401,3.03
402,2.95
403,3.05
404,3.14
405,3.12
406,3.11
407,3.02
408,3.06
409,3.11
410,3.06
411,3.08
412,3.06
413,3.06
414,3.10
415,3.05
416,3.02
417,3.01
418,23.24
419,3.09
420,3.10
421,3.05
422,3.04
423,3.06
424,3.08
425,3.08
426,3.03
427,3.01
428,3.08
429,3.10
430,3.08
431,3.07
432,3.06
433,3.03
434,3.02
435,3.05
436,3.03
437,3.02
438,3.07
439,3.10
440,3.07
441,3.05
442,3.06
443,3.06
444,13.82
445,2.40
446,2.35
447,2.33
448,2.21
449,2.00
450,1.98
451,2.05
452,1.94
453,1.85
454,1.87
455,1.90
456,1.78
457,1.67
458,1.67
459,1.66
460,1.86
461,1.37
462,1.64
463,1.88
464,1.39
465,1.62
466,1.83
467,1.63
468,1.42
469,1.94
470,1.67
471,1.77
472,1.84
473,1.97
474,22.25
475,1.78
476,1.60
477,1.63
478,1.65
479,1.65
480,1.67
481,1.87
482,1.41
483,1.66
484,1.64
485,1.64
486,1.64
487,1.62
488,1.58
489,1.60
490,1.64
491,1.59
492,1.63
493,1.69
494,1.66
495,1.61
496,2.71
497,2.71
498,2.72
499,2.70
500,2.71
501,2.72
502,2.75
503,2.76
504,2.74
505,4.10
506,2.74
507,2.74
508,2.75
509,2.74
510,4.08
511,2.68
512,2.66
513,2.66
514,2.67
515,2.66
516,2.67
517,2.71
518,3.97
519,4.01
520,4.14
521,4.12
522,2.73
523,2.75
524,4.22
525,2.76
526,4.00
527,2.68
528,4.08
529,2.76
530,2.79
531,2.79
532,2.70
533,3.96
534,2.70
535,2.73
536,5.42
537,2.02
538,2.00
539,0.98
540,1.24
541,1.74
542,1.20
543,1.01
544,1.82
545,2.03
546,1.01
547,1.02
548,2.05
549,2.02
550,2.02
551,1.21
552,1.96
553,0.99
554,1.03
555,2.15
556,1.86
557,2.12
558,1.02
559,1.04
560,2.16
561,1.34
562,1.86
563,1.28
564,1.73
565,1.21
566,0.97
567,1.00
568,1.02
569,1.03
