,0
0,0.97
1,1.62
2,1.52
3,1.60
4,1.34
5,1.31
6,1.72
7,1.37
8,1.13
9,1.30
10,1.59
11,1.43
12,1.15
13,1.28
14,1.37
15,1.28
16,1.36
17,1.45
18,1.71
