,0
0,1.59
1,1.61
2,1.58
3,1.58
4,1.61
5,1.64
6,1.68
7,1.63
8,1.59
9,1.64
10,1.66
11,1.57
12,1.54
13,1.59
14,1.59
15,1.56
16,1.61
17,1.62
18,1.57
19,1.60
20,1.63
21,1.63
22,1.60
23,1.61
24,1.61
25,1.59
26,1.58
27,1.57
28,1.53
29,1.54
30,1.59
31,1.58
32,1.53
33,1.55
34,1.57
35,1.58
36,1.63
37,1.60
38,1.60
