,0
0,1.7713392122449476
1,1.3025857864091572
2,1.6444809424416327
3,1.235538242608184
4,1.7331937788180956
5,1.3011656442225579
6,1.754127974886815
7,0.7027449046634315
8,1.6300196402581777
9,1.2179591776782646
10,1.760038446849931
11,1.318372746270978
12,1.6008947774852367
13,1.202574932654427
14,1.5759865763362357
15,1.1851434199527595
16,1.5072638425748421
17,1.1263715015615972
18,1.531515221213627
19,1.1496526648117535
20,1.6887249055957558
21,1.2694008202381675
22,1.5789029743858651
23,1.1829523512883244
24,1.6630457682009718
25,1.2447095032843078
26,1.6534515418349192
27,1.2401996586570319
